epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0821,1.42399,1.62595,1.30899,0.69099,0.75953,0.74052,0.44682,1.31335,1.41583,1.31859,0.000553106,0.000553106,0.000553106
2,149.44,1.39775,1.12938,1.36619,0.79848,0.75794,0.82303,0.4907,1.37796,2.83047,1.4461,0.00109295,0.00109295,0.00109295
3,225.656,1.37886,1.05141,1.34275,0.77329,0.7693,0.81931,0.48709,1.33215,1.29888,1.32939,0.00161693,0.00161693,0.00161693
4,298.506,1.35315,0.96885,1.32721,0.82927,0.86392,0.88088,0.55984,1.24506,0.91107,1.28905,0.00159563,0.00159563,0.00159563
5,375.467,1.29981,0.92895,1.30335,0.87784,0.82145,0.90643,0.56121,1.27174,0.92931,1.30327,0.00157184,0.00157184,0.00157184
6,450.488,1.29506,0.90175,1.28292,0.86781,0.85307,0.90501,0.58249,1.21391,0.85753,1.24416,0.00154805,0.00154805,0.00154805
7,525.876,1.27544,0.87355,1.28756,0.86887,0.87148,0.90435,0.57553,1.23153,0.78704,1.28324,0.00152426,0.00152426,0.00152426
8,598.764,1.24802,0.8124,1.26277,0.9083,0.84848,0.9412,0.62341,1.18039,0.69975,1.20994,0.00150047,0.00150047,0.00150047
9,675.302,1.23277,0.80532,1.24784,0.91501,0.86712,0.94788,0.6207,1.17197,0.7244,1.23161,0.00147668,0.00147668,0.00147668
10,748.767,1.21869,0.7694,1.25098,0.88621,0.89363,0.95491,0.62815,1.15976,0.6786,1.19825,0.00145289,0.00145289,0.00145289
11,824.488,1.18817,0.73113,1.23023,0.89119,0.90311,0.9432,0.64249,1.09409,0.80378,1.17121,0.0014291,0.0014291,0.0014291
12,900.441,1.16819,0.72497,1.21657,0.86748,0.89778,0.9367,0.62651,1.16919,0.66535,1.22757,0.0014053,0.0014053,0.0014053
13,973.239,1.14274,0.7169,1.19023,0.90582,0.9247,0.96026,0.65342,1.12571,0.67883,1.16866,0.00138151,0.00138151,0.00138151
14,1048.04,1.11614,0.6838,1.18305,0.89262,0.94785,0.96174,0.66962,1.08694,0.6204,1.17063,0.00135772,0.00135772,0.00135772
15,1123.21,1.1337,0.65438,1.19389,0.91274,0.93698,0.96242,0.67028,1.09933,0.60975,1.18351,0.00133393,0.00133393,0.00133393
16,1197.5,1.10941,0.67462,1.18358,0.91705,0.90634,0.95355,0.65243,1.11357,0.62179,1.17722,0.00131014,0.00131014,0.00131014
17,1269.16,1.12489,0.68247,1.18501,0.93491,0.92809,0.96886,0.67002,1.102,0.61397,1.15851,0.00128635,0.00128635,0.00128635
18,1343.97,1.09556,0.64106,1.16931,0.90267,0.93817,0.96645,0.66904,1.08757,0.72165,1.17757,0.00126256,0.00126256,0.00126256
19,1416.49,1.08447,0.64401,1.16426,0.91226,0.93166,0.962,0.67233,1.09434,0.60021,1.18508,0.00123877,0.00123877,0.00123877
20,1492.54,1.06627,0.6111,1.14489,0.92613,0.9237,0.96026,0.66344,1.10185,0.5852,1.18302,0.00121498,0.00121498,0.00121498
21,1564.48,1.0649,0.61381,1.14276,0.92839,0.92343,0.97019,0.67763,1.08983,0.56827,1.15132,0.00119119,0.00119119,0.00119119
22,1639.78,1.06115,0.60394,1.14576,0.91768,0.94031,0.96683,0.66847,1.07086,0.61454,1.16674,0.0011674,0.0011674,0.0011674
23,1712.42,1.05028,0.62201,1.14076,0.93066,0.90544,0.9636,0.66177,1.11806,0.59223,1.17641,0.00114361,0.00114361,0.00114361
24,1786.05,1.03651,0.59496,1.14099,0.90627,0.94317,0.96745,0.6696,1.09798,0.57185,1.16568,0.00111982,0.00111982,0.00111982
25,1859.07,1.0298,0.57709,1.13369,0.93722,0.94031,0.9701,0.6898,1.06464,0.60511,1.15022,0.00109603,0.00109603,0.00109603
26,1935.24,1.01256,0.57018,1.11383,0.94294,0.92995,0.97138,0.67982,1.06375,0.56968,1.1574,0.00107224,0.00107224,0.00107224
27,2008.79,1.0378,0.58709,1.13242,0.93523,0.9395,0.97398,0.69514,1.02768,0.52587,1.12701,0.00104845,0.00104845,0.00104845
28,2084.62,0.99043,0.57465,1.10157,0.93012,0.93971,0.97042,0.69121,1.06758,0.55699,1.16783,0.00102466,0.00102466,0.00102466
29,2158.73,1.00683,0.55679,1.12519,0.96168,0.93013,0.97399,0.69682,1.04153,0.55298,1.1598,0.00100087,0.00100087,0.00100087
30,2234.05,1.00071,0.55177,1.11741,0.9524,0.93493,0.97353,0.68994,1.0638,0.5346,1.13948,0.000977076,0.000977076,0.000977076
31,2306.34,0.98948,0.55088,1.10893,0.97136,0.91599,0.97263,0.69467,1.04079,0.73301,1.1393,0.000953286,0.000953286,0.000953286
32,2379.68,0.96565,0.53142,1.0985,0.92551,0.95378,0.97708,0.69253,1.03727,0.70524,1.14536,0.000929495,0.000929495,0.000929495
33,2454.06,0.98546,0.55144,1.11115,0.92757,0.95047,0.97155,0.69132,1.04558,0.5256,1.13803,0.000905705,0.000905705,0.000905705
34,2527.93,0.97308,0.52222,1.09439,0.94151,0.95289,0.97448,0.69445,1.03237,0.50171,1.13275,0.000881914,0.000881914,0.000881914
35,2600.9,0.95814,0.52257,1.09673,0.94644,0.94519,0.98078,0.70018,1.04206,0.69615,1.13798,0.000858124,0.000858124,0.000858124
36,2677.28,0.95076,0.5165,1.08787,0.95769,0.92829,0.97536,0.69428,1.06146,0.52564,1.16985,0.000834333,0.000834333,0.000834333
37,2751.19,0.9404,0.51812,1.07825,0.96169,0.9441,0.9779,0.70894,1.02733,0.49991,1.12922,0.000810543,0.000810543,0.000810543
38,2826.73,0.94629,0.51555,1.09054,0.93974,0.96504,0.98085,0.70425,1.04355,0.5072,1.13786,0.000786753,0.000786753,0.000786753
39,2899.96,0.92116,0.50131,1.07465,0.91737,0.96287,0.98056,0.71145,1.02372,0.51034,1.11585,0.000762962,0.000762962,0.000762962
40,2975.91,0.92759,0.49684,1.084,0.96391,0.94225,0.98053,0.70451,1.03715,0.49628,1.13191,0.000739172,0.000739172,0.000739172
41,3049.59,0.90702,0.49255,1.06357,0.96977,0.95355,0.98636,0.71738,1.01023,0.46427,1.12808,0.000715381,0.000715381,0.000715381
42,3127,0.9142,0.4727,1.06076,0.94615,0.97276,0.98473,0.7113,1.04232,0.52175,1.15218,0.000691591,0.000691591,0.000691591
43,3200.24,0.90705,0.4779,1.05036,0.95766,0.94953,0.9799,0.71515,1.0082,0.46737,1.11959,0.0006678,0.0006678,0.0006678
44,3273.74,0.88989,0.48376,1.05649,0.94646,0.96709,0.98448,0.71304,1.02252,0.59217,1.13236,0.00064401,0.00064401,0.00064401
45,3347.07,0.90268,0.47946,1.05844,0.9352,0.96775,0.98465,0.71506,1.00961,0.46472,1.11859,0.000620219,0.000620219,0.000620219
46,3419.84,0.8767,0.49605,1.04698,0.95649,0.97227,0.98193,0.71478,1.01395,0.45884,1.15241,0.000596429,0.000596429,0.000596429
